LMP	PRG,AYT,FRA,HHN,SVQ,ALY,ORY,PAR,CDG,KTW,BNJ,CGN,WRO,BVA,RBA,QKL,CRL,KYA,ZYR,DTM
RLG	SVO,MOW,DME,BKA,ZAZ,PMO,VOZ,VLC,DOK,IST,TUN,MAD,ATH,ALG,ROV,ADB,OPO,ANK,ESB,ORN
EDI	VIE,WAW,RIX,BCN,OPO,HEL,MAD,PUY,ZAG,VNO,BUD,VLC,FCO,CIA,LIS,MHP,MSQ,BWK,LED,BEG
LMT	HMO,ELP,PSG,CUU,YWG,XEF,OKC,LAP,MSP,LYU,SAT,AUS,SLW,MTY,IAH,HOU,MKE,ORD,MDW,CHI
EDO	POZ,MXP,VOZ,TBZ,VNO,VOG,STR,ZWS,MCX,BER,SXF,THF,TXL,FRA,MRS,HAS,HHN,VKO,DME,RIX
EDL	TAI,BLZ,LUN,SAH,HRE,BEW,FIH,BUQ,JED,BMD,LAD,YAO,MED,MPM,RUH,JNB,HAS,PHC,KAN,DMM
EDM	BEG,OSL,WAW,MXX,BMA,STO,ARN,TIP,SOF,VNO,RIX,OTP,BBU,MHP,POR,MSQ,HEL,ATH,IEV,KBP
EDR	BNE,OOL,ADL,ENE,SYD,MEL,PTJ,UPG,SSR,DVO,PER,ZAM,SUB,CEB,SRG,WNP,BDO,CGK,MNL,AKL
LML	SSR,IHU,MXH,OIM,NRT,HND,TYO,NGO,KIX,HNM,ITM,BNE,KCZ,OOL,OKJ,RMA,HIJ,CTS,HIW,DVO
EDW	YVR,CXH,GGW,YYC,OKC,SAT,SLW,AUS,MTY,YEG,XZL,AGU,GDL,IAH,HOU,MLM,YWG,MSP,XEF,AEX
LMN	ENE,PDG,HAK,MES,BKK,ZHA,ZUH,HKG,BHY,SZX,HPH,VTE,CAN,SWA,HAN,TNN,NNG,NNT,XMN,TXG
LMO	LIN,RIX,HEL,KTW,WAW,MRS,VIE,VNO,ZAZ,PUY,BCN,OPO,ZAG,BUD,MAD,LED,MHP,MSQ,VLC,FCO
LMC	LIM,MAO,MGA,KIN,KTP,HEX,SDQ,STI,TGU,DCF,SJU,DOM,AQP,LPB,GUA,CBB,HAV,VVI,CUN,MPB
LME	RBA,MXX,BMA,STO,ARN,CMN,RIX,VNO,SOF,MHP,OTP,TIP,BBU,POR,MSQ,HEL,IEV,ATH,KBP,RET
DPS	BTH,SIN,XSP,PDG,ZAM,KUL,DVO,MES,CEB,SGN,PNH,PER,WNP,MNL,BKK,MXH,HAK,VTE,IHU,ZHA
DPA	TPA,SAT,MLB,APF,MIA,MPB,ELP,MTY,SLW,CUU,HAV,YYC,YEG,XZL,PHX,YQY,CUN,BDA,TAM,LAS
DPO	RMA,BNE,AKL,HLZ,PER,SSR,IHU,MXH,ENE,UPG,SUB,SRG,BDO,CGK,TKG,DVO,ZAM,PLM,CEB,BTH
DPL	TNN,TXG,SWA,HKG,ZUH,TSA,SGN,TPE,XMN,SZX,JJN,HAK,ENE,CAN,FOC,ZHA,PNH,BHY,SUB,WNZ
PNY	PAT,LKO,AGR,JAI,CGP,DAC,JDH,RGN,KTM,DEL,KHI,IXC,SUL,MUX,LHE,ATQ,LYP,MES,BKK,NNT
CFO	GIG,FOR,CAW,CWB,ASU,CBB,REC,JPA,NAT,LPB,POA,AQP,ROS,BLA,MVD,AEP,EZE,LIM,UAQ,CCS
PNZ	CPQ,VCP,GRU,CGH,SOD,CGR,CWB,MAO,ASU,POA,VVI,CBB,LPB,MVD,AEP,ROS,EZE,BLA,AQP,DCF
PNQ	ISB,SXR,PEW,ZAH,DAC,KBL,CGP,BXR,DXB,AUH,DYU,RGN,SYZ,TAS,DMM,CIT,BSD,FRU,NNT,RUH
CFG	BNA,VER,HOU,MKL,MEM,IAH,BRM,TAM,SVZ,SDF,STD,VLN,PBC,CCS,BDA,BWI,AUS,MEX,SAT,CVJ
PNS	YYZ,YTZ,YBZ,NYC,JFK,LGA,MSP,PBC,MEX,KTP,KIN,CVJ,YGK,XEG,AGU,GUA,MLM,CUU,TGU,ELP
CFE	SOF,CMN,OSL,TIP,OTP,BBU,BMA,STO,ARN,MXX,VNO,RIX,ATH,MHP,MSQ,IEV,KBP,ODS,BEN,POR
CFB	REC,MVD,JPA,THE,NAT,AEP,EZE,ROS,FOR,VVI,CBB,LUQ,UAQ,LPB,MDZ,MAO,SCL,AQP,LIM,TRU
PNT	SCL,LUQ,MDZ,EZE,AEP,UAQ,MVD,ROS,POA,ASU,CWB,SOD,CGR,CGH,GRU,CBB,VCP,CPQ,VVI,LPB
PNV	STN,BVA,CDG,KUF,LCY,IST,LTN,PAR,BQH,LON,ORY,EMA,LGW,LHR,MAN,BHX,LPL,CIA,FCO,CEG
PNI	IHU,MXH,SSR,DVO,OIM,NRT,HND,TYO,CEB,NGO,KIX,BNE,RMA,ITM,KCZ,WNP,OOL,OKJ,ZAM,HIJ
PNH	KWL,BSD,ZAT,MNL,SWA,CGP,XIC,TKG,YBP,LZO,ZAM,CGK,WNP,XMN,CKG,DAC,CGD,TNN,JJN,BDO
PNK	ZAM,ENE,BKK,DVO,CEB,MNL,VTE,WNP,HAK,NNT,HPH,ZHA,RGN,HAN,BHY,ZUH,NNG,HKG,SZX,CAN
PNM	YYC,PHL,CSG,YEG,NYC,LGA,XZL,YTF,JFK,IAH,AUS,HOU,MHT,OAJ,SAT,BOS,PWM,ELP,JAX,PHX
PNL	BVA,QKL,KTW,CRL,WRO,ZYR,DTM,AYT,BRU,RBA,BER,SXF,THF,TXL,ALY,POZ,RTM,AMS,CMN,KYA
CFX	CWB,SOD,VCP,CPQ,LIM,CGH,GRU,BSB,GIG,PLU,TRU,CAW,MAO,GYE,UIO,THE,AJU,CLO,BOG,AXM
PNA	BRR,WRO,BUD,TIP,POZ,BEG,KTW,WAW,TRF,SOF,OSL,ATH,OTP,BBU,BEN,BMA,STO,MXX,ARN,LAQ
PNC	LAS,YHM,YYZ,TPA,YTZ,YBZ,MXL,AGU,OAJ,BWI,MLB,APF,TIJ,SAN,LAP,GDL,MLM,YGK,XEG,MEX
CFU	QKL,DTM,DAM,AGF,ADJ,MHP,AMM,MSQ,DOK,CRL,BRE,VNO,ORY,LBC,CDG,PAR,HAM,ZYR,BRU,PUF
CFR	MXX,TUN,PMO,BMA,STO,BEG,ARN,RBA,RIX,CMN,VNO,POR,SOF,MHP,MSQ,HEL,OTP,BBU,TIP,RET
CFS	AKL,HLZ,SSR,IHU,MXH,PER,ENE,UPG,SUB,DVO,SRG,ZAM,BDO,CEB,CGK,TKG,WNP,PLM,MNL,BTH
TLA	PSG,CXH,YVR,RSJ,XZL,YEG,LKE,SEA,YYC,PDX,SLE,GGW,OKD,CTS,SFO,JMU,YWG,XEF,SJC,VVO
MRX	CAI,UET,KYA,SAH,ESB,ANK,ALY,AYT,KHI,KBL,TAI,SUL,DYU,ROV,VOG,PEW,MUX,TAS,IST,DOK
MRY	CUU,YYC,LAP,GGW,YEG,XZL,OKC,SAT,SLW,AUS,MTY,PSG,YWG,XEF,AGU,GDL,IAH,MSP,HOU,LYU
MRZ	SSR,IHU,AKL,HLZ,MXH,PER,ENE,UPG,SUB,SRG,DVO,ZAM,BDO,CGK,CEB,TKG,WNP,PLM,MNL,BTH
MRU	BEW,BLZ,DAR,MPM,LLW,MBA,HRE,MGQ,DUR,BUQ,JNB,NBO,WIL,LUN,PLZ,TRV,ADD,CMB,IXM,CCJ
MRV	VNO,ATH,PEE,BEG,SYZ,ALY,WAW,HAS,BUD,CAI,KTW,LED,RIX,DMM,VIE,WRO,TJM,BWK,ZAG,POZ
MRQ	BHY,WNZ,SGN,NNG,LZH,YIW,HPH,KWL,NGB,HSN,PNH,HGH,HAN,PVG,CGD,UPG,CZX,NTG,WUH,HFE
MRS	OTP,BBU,ATH,BRR,TRF,BEN,LAQ,OSL,VNO,ADB,IST,BMA,STO,MHP,RIX,ARN,ODS,MSQ,MXX,IEV
MRN	AUS,YTF,CUN,SAT,XEF,YWG,KTP,KIN,DEN,MTY,STI,YQY,SLW,TAM,HEX,SDQ,ELP,VER,CUU,GGW
MRO	SYD,OOL,BNE,MEL,PTJ,SSR,RMA,ADL,IHU,MXH,PER,ENE,UPG,SUB,DVO,SRG,HNM,ZAM,BDO,CEB
MRI	CXH,YVR,RSJ,XZL,LKE,YEG,SEA,YYC,PDX,SLE,GGW,SFO,SJC,YWG,XEF,LAS,LAX,DEN,LYU,SAN
